Date,Day,Corps,GE,Visual,Music
6/21/2018,1,Bluecoats,28.7,20.3,21.3
6/21/2018,1,Carolina Crown,28.3,20.3,21.4
6/21/2018,1,The Cavaliers,28.3,20.15,20.9
6/21/2018,1,Boston Crusaders,27.2,19.7,20.4
6/21/2018,1,Phantom Regiment,25.8,18.65,19.55
6/21/2018,1,Blue Stars,25.2,17.95,18.85
6/22/2018,2,Blue Devils B,21.5,17.9,16.45
6/22/2018,2,Blue Devils,28.4,21.65,21.25
6/22/2018,2,Vanguard Cadets,19.9,16.75,16.05
6/22/2018,2,Santa Clara Vanguard,27.9,21.55,21.25
6/22/2018,2,Blue Devils C,15.6,10.5,10.45
6/22/2018,2,Blue Knights,27,19.7,19.95
6/22/2018,2,Mandarins,25.3,18.95,18.7
6/22/2018,2,The Academy,24.1,18.6,18.85
6/22/2018,2,Troopers,23,17.55,17.5
6/23/2018,3,The Cavaliers,28.2,21.15,21.4
6/23/2018,3,Boston Crusaders,27.6,20.9,20.9
6/23/2018,3,Blue Stars,25,19.35,19.45
6/23/2018,3,Madison Scouts,24.6,18.4,18.45
6/23/2018,3,Colts,24.5,18.55,18.15
6/23/2018,3,Pioneer,21.3,14.1,14.5
6/23/2018,3,Colt Cadets,19.7,12.95,13.75
6/23/2018,3,Bluecoats,29.3,21.15,21.15
6/23/2018,3,Carolina Crown,28.4,20.95,21.25
6/23/2018,3,The Cadets,27,20.1,19.9
6/23/2018,3,Phantom Regiment,26.6,19.1,20
6/23/2018,3,Crossmen,26.2,19.05,18.6
6/23/2018,3,Genesis,22.7,15.7,17.05
6/24/2018,4,The Cavaliers,29.1,21.4,21.7
6/24/2018,4,Boston Crusaders,28.3,21.05,21.15
6/24/2018,4,The Cadets,27.2,20.65,20.6
6/24/2018,4,Blue Stars,26.4,19.95,19.35
6/24/2018,4,Colts,25.1,18.9,19.05
6/24/2018,4,Genesis,23.9,16.45,17.35
6/24/2018,4,Pioneer,19.8,14.65,15.25
6/24/2018,4,Colt Cadets,18.9,13.45,14.7
6/24/2018,4,Blue Devils,29.1,22.1,21.5
6/24/2018,4,Santa Clara Vanguard,29,21.8,21.65
6/24/2018,4,Blue Knights,26.9,19.4,20.5
6/24/2018,4,Mandarins,27,19.7,19.5
6/24/2018,4,The Academy,25.5,18.75,19.2
